
---------- Begin Simulation Statistics ----------
sim_seconds                               2420.308666                       # Number of seconds simulated
sim_ticks                                2420308666254500                       # Number of ticks simulated
final_tick                               2420308666254500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_seconds                                 19821.98                       # Real time elapsed on the host
host_tick_rate                           122102258792                       # Simulator tick rate (ticks/s)
host_mem_usage                                5239508                       # Number of bytes of host memory used
sim_insts                                  2173586170                       # Number of instructions simulated
sim_ops                                    5419977219                       # Number of ops (including micro ops) simulated
host_inst_rate                                 109655                       # Simulator instruction rate (inst/s)
host_op_rate                                   273433                       # Simulator op (including micro ops) rate (op/s)
system.apicbridge.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.clk_domain.clock                          1000                       # Clock period in ticks
system.cpu.numCycles                       8802861504                       # Number of cpu cycles simulated
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed
system.cpu.instsAdded                      5608787055                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.nonSpecInstsAdded                 23740353                       # Number of non-speculative instructions added to the IQ
system.cpu.instsIssued                     5586039569                       # Number of instructions issued
system.cpu.squashedInstsIssued                2413877                       # Number of squashed instructions issued
system.cpu.squashedInstsExamined            212550159                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.squashedOperandsExamined         182134729                       # Number of squashed operands that are examined and possibly removed from graph
system.cpu.squashedNonSpecRemoved             7726137                       # Number of squashed non-spec instructions that were removed
system.cpu.numIssuedDist::samples          4163851102                       # Number of insts issued each cycle
system.cpu.numIssuedDist::mean               1.341556                       # Number of insts issued each cycle
system.cpu.numIssuedDist::stdev              1.995950                       # Number of insts issued each cycle
system.cpu.statFuBusy::FloatDiv                     0      0.00%     93.19% # attempts to use FU when none available
system.cpu.statFuBusy::FloatMisc                    0      0.00%     93.19% # attempts to use FU when none available
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     93.19% # attempts to use FU when none available
system.cpu.statFuBusy::SimdAdd                      7      0.00%     93.19% # attempts to use FU when none available
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     93.19% # attempts to use FU when none available
system.cpu.statFuBusy::SimdAlu                   7558      0.01%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdCmp                     50      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdCvt                   3964      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdMisc                   327      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdMult                     0      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdShift                  215      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdDiv                      0      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdAes                      0      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdSha256Hash2              0      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdShaSigma2                0      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdShaSigma3                0      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::SimdPredAlu                  0      0.00%     93.20% # attempts to use FU when none available
system.cpu.statFuBusy::MemRead                6613598      4.85%     98.05% # attempts to use FU when none available
system.cpu.statFuBusy::MemWrite               2658395      1.95%    100.00% # attempts to use FU when none available
system.cpu.statFuBusy::FloatMemRead              3852      0.00%    100.00% # attempts to use FU when none available
system.cpu.statFuBusy::FloatMemWrite             1928      0.00%    100.00% # attempts to use FU when none available
system.cpu.statFuBusy::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available
system.cpu.statFuBusy::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.statIssuedInstType_0::No_OpClass    122738677      2.20%      2.20% # Type of FU issued
system.cpu.statIssuedInstType_0::IntAlu    4261604741     76.29%     78.49% # Type of FU issued
system.cpu.statIssuedInstType_0::IntMult      2771474      0.05%     78.54% # Type of FU issued
system.cpu.statIssuedInstType_0::IntDiv        946410      0.02%     78.55% # Type of FU issued
system.cpu.statIssuedInstType_0::FloatAdd        14743      0.00%     78.55% # Type of FU issued
system.cpu.statIssuedInstType_0::FloatCmp            0      0.00%     78.55% # Type of FU issued
system.cpu.statIssuedInstType_0::FloatCvt        15778      0.00%     78.55% # Type of FU issued
system.cpu.statIssuedInstType_0::FloatMult            0      0.00%     78.55% # Type of FU issued
system.cpu.statIssuedInstType_0::FloatMultAcc            0      0.00%     78.55% # Type of FU issued
system.cpu.statIssuedInstType_0::FloatDiv            0      0.00%     78.55% # Type of FU issued
system.cpu.statIssuedInstType_0::FloatMisc            0      0.00%     78.55% # Type of FU issued
system.cpu.statIssuedInstType_0::FloatSqrt            0      0.00%     78.55% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdAdd        19110      0.00%     78.55% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdAddAcc            0      0.00%     78.55% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdAlu       103857      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdCmp          532      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdCvt        96650      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdMisc        59701      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdMult            0      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdMultAcc            0      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdShift        17337      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdShiftAcc            0      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdDiv            0      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdSqrt            0      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdFloatAdd            0      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdFloatAlu            0      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdFloatCmp            0      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdFloatCvt            0      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdFloatDiv            0      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdFloatMisc            0      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdFloatMult            0      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdFloatSqrt            0      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdReduceAdd            0      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdReduceAlu            0      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdReduceCmp            0      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdAes            0      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdAesMix            0      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdSha1Hash            0      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdSha256Hash            0      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdShaSigma2            0      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdShaSigma3            0      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::SimdPredAlu            0      0.00%     78.56% # Type of FU issued
system.cpu.statIssuedInstType_0::MemRead    715663130     12.81%     91.37% # Type of FU issued
system.cpu.statIssuedInstType_0::MemWrite    481814372      8.63%    100.00% # Type of FU issued
system.cpu.statIssuedInstType_0::FloatMemRead       123745      0.00%    100.00% # Type of FU issued
system.cpu.statIssuedInstType_0::FloatMemWrite        49312      0.00%    100.00% # Type of FU issued
system.cpu.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Type of FU issued
system.cpu.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Type of FU issued
system.cpu.statIssuedInstType_0::total     5586039569                       # Type of FU issued
system.cpu.issueRate                         0.634571                       # Inst issue rate
system.cpu.fuBusy                           136445120                       # FU busy when requested
system.cpu.fuBusyRate                        0.024426                       # FU busy rate (busy events/executed inst)
system.cpu.intInstQueueReads              15473690401                       # Number of integer instruction queue reads
system.cpu.intInstQueueWrites              5844425385                       # Number of integer instruction queue writes
system.cpu.intInstQueueWakeupAccesses      5558660993                       # Number of integer instruction queue wakeup accesses
system.cpu.fpInstQueueReads                   1098830                       # Number of floating instruction queue reads
system.cpu.fpInstQueueWrites                   822673                       # Number of floating instruction queue writes
system.cpu.fpInstQueueWakeupAccesses           506727                       # Number of floating instruction queue wakeup accesses
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses
system.cpu.intAluAccesses                  5599191455                       # Number of integer alu accesses
system.cpu.fpAluAccesses                       554557                       # Number of floating point alu accesses
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses
system.cpu.idleCycles                               0                       # Number of cycles IEW is idle
system.cpu.squashCycles                      17803998                       # Number of cycles IEW is squashing
system.cpu.blockCycles                       55559820                       # Number of cycles IEW is blocking
system.cpu.unblockCycles                     25012981                       # Number of cycles IEW is unblocking
system.cpu.dispatchedInsts                 5632527408                       # Number of instructions dispatched to IQ
system.cpu.dispSquashedInsts                  8454971                       # Number of squashed instructions skipped by dispatch
system.cpu.dispLoadInsts                    718534246                       # Number of dispatched load instructions
system.cpu.dispStoreInsts                   485453685                       # Number of dispatched store instructions
system.cpu.dispNonSpecInsts                  17727598                       # Number of dispatched non-speculative instructions
system.cpu.iqFullEvents                        251757                       # Number of times the IQ has become full, causing a stall
system.cpu.lsqFullEvents                     24563868                       # Number of times the LSQ has become full, causing a stall
system.cpu.memOrderViolationEvents             171656                       # Number of memory order violations
system.cpu.predictedTakenIncorrect            8808652                       # Number of branches that were predicted taken incorrectly
system.cpu.predictedNotTakenIncorrect         8714136                       # Number of branches that were predicted not taken incorrectly
system.cpu.branchMispredicts                 17522788                       # Number of branch mispredicts detected at execute
system.cpu.numInsts                        5567611415                       # Number of executed instructions
system.cpu.numLoadInsts                     709152280                       # Number of load instructions executed
system.cpu.numSquashedInsts                  15603412                       # Number of squashed instructions skipped in execute
system.cpu.numSwp                                   0                       # Number of swp insts executed
system.cpu.numNop                                   0                       # Number of nop insts executed
system.cpu.numRefs                         1189344523                       # Number of memory reference insts executed
system.cpu.numBranches                      699021866                       # Number of branches executed
system.cpu.numStoreInsts                    480192243                       # Number of stores executed
system.cpu.numRate                           0.632477                       # Inst execution rate
system.cpu.instsToCommit                   5561905544                       # Cumulative count of insts sent to commit
system.cpu.writebackCount                  5559167720                       # Cumulative count of insts written-back
system.cpu.producerInst                    3615924818                       # Number of instructions producing a value
system.cpu.consumerInst                    5237097344                       # Number of instructions consuming a value
system.cpu.wbRate                            0.631518                       # Insts written-back per cycle
system.cpu.wbFanout                          0.690444                       # Average fanout of values written-back
system.cpu.timesIdled                        59377409                       # Number of times that the entire CPU went into an idle state and unscheduled itself
system.cpu.idleCycles                      4639010402                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.quiesceCycles                 4831814471006                       # Total number of cycles that CPU has spent quiesced or waiting for an interrupt
system.cpu.committedInsts                  2173586170                       # Number of Instructions Simulated
system.cpu.committedOps                    5419977219                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               4.049925                       # CPI: Cycles Per Instruction
system.cpu.totalCpi                          4.049925                       # CPI: Total CPI of All Threads
system.cpu.ipc                               0.246918                       # IPC: Instructions Per Cycle
system.cpu.totalIpc                          0.246918                       # IPC: Total IPC of All Threads
system.cpu.intRegfileReads                 7450018703                       # Number of integer regfile reads
system.cpu.intRegfileWrites                4187496943                       # Number of integer regfile writes
system.cpu.fpRegfileReads                      795215                       # Number of floating regfile reads
system.cpu.fpRegfileWrites                     407129                       # Number of floating regfile writes
system.cpu.ccRegfileReads                  2637842693                       # number of cc regfile reads
system.cpu.ccRegfileWrites                 1249686345                       # number of cc regfile writes
system.cpu.miscRegfileReads                2622673166                       # number of misc regfile reads
system.cpu.miscRegfileWrites                 18973177                       # number of misc regfile writes
system.cpu.MemDepUnit__0.insertedLoads      718534246                       # Number of loads inserted to the mem dependence unit.
system.cpu.MemDepUnit__0.insertedStores     485453685                       # Number of stores inserted to the mem dependence unit.
system.cpu.MemDepUnit__0.conflictingLoads     38260851                       # Number of conflicting loads.
system.cpu.MemDepUnit__0.conflictingStores     32262092                       # Number of conflicting stores.
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit.
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit.
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads.
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores.
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit.
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit.
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads.
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores.
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit.
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit.
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads.
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores.
system.cpu.branchPred.lookups               787689999                       # Number of BP lookups
system.cpu.branchPred.condPredicted         453168085                       # Number of conditional branches predicted
system.cpu.branchPred.condIncorrect          25411682                       # Number of conditional branches incorrect
system.cpu.branchPred.BTBLookups            477050050                       # Number of BTB lookups
system.cpu.branchPred.BTBHits               465631743                       # Number of BTB hits
system.cpu.branchPred.BTBHitPct             97.606476                       # BTB Hit Percentage
system.cpu.branchPred.RASUsed                69322158                       # Number of times the RAS was used to get a target.
system.cpu.branchPred.RASIncorrect            4534762                       # Number of incorrect RAS predictions.
system.cpu.branchPred.indirectLookups         9944638                       # Number of indirect predictor lookups.
system.cpu.branchPred.indirectHits            7362316                       # Number of indirect target hits.
system.cpu.branchPred.indirectMisses          2582322                       # Number of indirect misses.
system.cpu.branchPred.indirectMispredicted      1297753                       # Number of mispredicted indirect branches.
system.cpu.commit.commitSquashedInsts       198747579                       # The number of squashed insts skipped by commit
system.cpu.commit.commitNonSpecStalls        16014216                       # The number of times commit has been forced to stall to communicate backwards
system.cpu.commit.branchMispredicts          15781433                       # The number of times a branch was mispredicted
system.cpu.commit.numCommittedDist::samples   4125891678                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::mean     1.313650                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::stdev     2.219225                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::0      2522823643     61.15%     61.15% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::1       429239869     10.40%     71.55% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::2       228063293      5.53%     77.08% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::3       487287970     11.81%     88.89% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::4        66779541      1.62%     90.51% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::5        63232720      1.53%     92.04% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::6        57731252      1.40%     93.44% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::7        22789542      0.55%     93.99% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::8       247943848      6.01%    100.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::total   4125891678                       # Number of insts commited each cycle
system.cpu.commit.instsCommitted           2173586170                       # Number of instructions committed
system.cpu.commit.opsCommitted             5419977219                       # Number of ops (including micro ops) committed
system.cpu.commit.memRefs                  1154505315                       # Number of memory references committed
system.cpu.commit.loads                     689708850                       # Number of loads committed
system.cpu.commit.amos                              0                       # Number of atomic instructions committed
system.cpu.commit.membars                      221712                       # Number of memory barriers committed
system.cpu.commit.branches                  686533263                       # Number of branches committed
system.cpu.commit.vector                            0                       # Number of committed Vector instructions.
system.cpu.commit.floating                     394333                       # Number of committed floating point instructions.
system.cpu.commit.integer                  5133346762                       # Number of committed integer instructions.
system.cpu.commit.functionCalls              67538250                       # Number of function calls committed.
system.cpu.commit.committedInstType_0::No_OpClass    115925029      2.14%      2.14% # Class of committed instruction
system.cpu.commit.committedInstType_0::IntAlu   4145613378     76.49%     78.63% # Class of committed instruction
system.cpu.commit.committedInstType_0::IntMult      2752532      0.05%     78.68% # Class of committed instruction
system.cpu.commit.committedInstType_0::IntDiv       937021      0.02%     78.69% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatAdd         7091      0.00%     78.69% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatCmp            0      0.00%     78.69% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatCvt         8272      0.00%     78.69% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatMult            0      0.00%     78.69% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatMultAcc            0      0.00%     78.69% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatDiv            0      0.00%     78.69% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatMisc            0      0.00%     78.69% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatSqrt            0      0.00%     78.69% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdAdd        14948      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdAddAcc            0      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdAlu        77625      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdCmp          512      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdCvt        74380      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdMisc        54181      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdMult            0      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdMultAcc            0      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdShift         6935      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdShiftAcc            0      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdDiv            0      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdSqrt            0      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatAdd            0      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatAlu            0      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatCmp            0      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatCvt            0      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatDiv            0      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatMisc            0      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatMult            0      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatMultAcc            0      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatSqrt            0      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdReduceAdd            0      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdReduceAlu            0      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdReduceCmp            0      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatReduceAdd            0      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatReduceCmp            0      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdAes            0      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdAesMix            0      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdSha1Hash            0      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdSha1Hash2            0      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdSha256Hash            0      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdSha256Hash2            0      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdShaSigma2            0      0.00%     78.70% # Class of committed instruction
